epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,3027.57,1.16127,1.44456,1.20689,0.60823,0.43796,0.47808,0.33678,1.15895,1.28213,1.18938,0.00189475,0.00189475,0.00189475
74,3778.71,1.15873,1.43846,1.20456,0.60788,0.43971,0.47953,0.33771,1.15829,1.27873,1.18846,0.00177651,0.00177651,0.00177651
75,4530.45,1.15616,1.43125,1.2023,0.60934,0.4396,0.48043,0.33876,1.15795,1.27584,1.18786,0.00166149,0.00166149,0.00166149
76,5279.48,1.1531,1.425,1.20034,0.60759,0.44087,0.48142,0.33955,1.15663,1.27322,1.18648,0.00154982,0.00154982,0.00154982
77,6030.44,1.14856,1.41549,1.19778,0.60613,0.44178,0.48276,0.34033,1.15606,1.27156,1.18588,0.00144161,0.00144161,0.00144161
78,773.859,1.13511,1.38764,1.19143,0.60758,0.44275,0.48358,0.34089,1.15582,1.26873,1.18527,0.00133695,0.00133695,0.00133695
79,1530.67,1.1376,1.38648,1.19164,0.60474,0.4456,0.48374,0.34092,1.15552,1.26654,1.1849,0.00123596,0.00123596,0.00123596
80,2286.2,1.13752,1.38235,1.19047,0.61084,0.44307,0.48439,0.34158,1.1552,1.26488,1.18436,0.00113873,0.00113873,0.00113873
81,3041.47,1.13609,1.38392,1.19064,0.60999,0.44502,0.48496,0.342,1.15471,1.26387,1.18381,0.00104537,0.00104537,0.00104537
82,3796.79,1.13512,1.38119,1.1887,0.60385,0.44676,0.48585,0.3425,1.1546,1.26252,1.18334,0.000955951,0.000955951,0.000955951
83,4550.85,1.13383,1.37725,1.18755,0.60161,0.44907,0.48627,0.34301,1.1537,1.26097,1.18254,0.000870577,0.000870577,0.000870577
84,5304.97,1.13255,1.37544,1.18719,0.6056,0.44782,0.48696,0.34336,1.15263,1.25914,1.18149,0.000789327,0.000789327,0.000789327
85,6058.86,1.12975,1.36917,1.18533,0.6087,0.44711,0.4874,0.34376,1.15208,1.25835,1.18078,0.000712282,0.000712282,0.000712282
86,6812.82,1.12882,1.3675,1.18505,0.60789,0.44698,0.48832,0.34431,1.15133,1.25717,1.18018,0.000639518,0.000639518,0.000639518
87,7567.19,1.12601,1.35865,1.18323,0.60752,0.44671,0.48861,0.34465,1.15067,1.25548,1.17952,0.000571106,0.000571106,0.000571106
88,8321.13,1.1263,1.35648,1.18286,0.60872,0.44604,0.48903,0.3449,1.15003,1.25382,1.17874,0.000507115,0.000507115,0.000507115
89,9076.18,1.12415,1.34993,1.18133,0.60934,0.44669,0.49021,0.34603,1.14955,1.25294,1.17794,0.000447606,0.000447606,0.000447606
90,9831.56,1.1205,1.34469,1.17855,0.60753,0.44829,0.49055,0.34616,1.14941,1.25156,1.17747,0.00039264,0.00039264,0.00039264
91,10431.6,1.14666,1.26957,1.1979,0.60797,0.44894,0.49129,0.3466,1.14839,1.24921,1.17641,0.00034227,0.00034227,0.00034227
92,11027,1.13899,1.25106,1.19359,0.61136,0.44715,0.49189,0.34676,1.14753,1.24792,1.17543,0.000296546,0.000296546,0.000296546
93,11623.8,1.134,1.24193,1.19004,0.59705,0.45671,0.49215,0.34731,1.14688,1.24684,1.1746,0.000255513,0.000255513,0.000255513
94,12219.2,1.13202,1.23636,1.18871,0.59963,0.45626,0.4929,0.34797,1.14616,1.24547,1.17393,0.000219212,0.000219212,0.000219212
95,12814.7,1.13019,1.23039,1.18852,0.60419,0.45545,0.49302,0.34808,1.14636,1.24417,1.17359,0.000187678,0.000187678,0.000187678
96,13409.5,1.12809,1.22459,1.18595,0.59841,0.45936,0.49325,0.34845,1.14622,1.24298,1.17325,0.000160943,0.000160943,0.000160943
97,14005,1.12706,1.22076,1.18521,0.59634,0.46025,0.49332,0.34872,1.14613,1.24235,1.17287,0.000139032,0.000139032,0.000139032
98,14600.7,1.12635,1.21893,1.18511,0.59881,0.45843,0.49366,0.34877,1.14566,1.24206,1.17248,0.000121968,0.000121968,0.000121968
99,15195.9,1.12556,1.2169,1.18391,0.59848,0.45933,0.49396,0.34908,1.1455,1.24177,1.17204,0.000109768,0.000109768,0.000109768
100,15793.7,1.12319,1.21391,1.18253,0.59996,0.45915,0.49436,0.34916,1.14541,1.24104,1.17161,0.000102443,0.000102443,0.000102443
