epoch,time,train/box,train/seg,train/cls,train/dfl,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box,val/seg,val/cls,val/dfl,lr/pg0,lr/pg1,lr/pg2
39,22070.3,1.17912,2.29241,1.80806,1.25973,0.46166,0.15074,0.10819,0.07999,0.45975,0.14802,0.10571,0.07079,1.12819,2.23624,3.78051,1.20361,9.2476e-05,9.2476e-05,9.2476e-05
40,25745.6,1.17111,2.27349,1.78837,1.25468,0.46226,0.15171,0.11052,0.08186,0.46509,0.1473,0.10792,0.07247,1.1218,2.22449,3.76298,1.19932,9.2278e-05,9.2278e-05,9.2278e-05
41,3617.6,1.19486,2.32325,1.84314,1.27261,0.4666,0.15078,0.10995,0.08159,0.46873,0.14669,0.10743,0.07209,1.11978,2.22134,3.77418,1.1979,9.208e-05,9.208e-05,9.208e-05
42,7324.93,1.18803,2.31397,1.82919,1.26563,0.45841,0.1527,0.11041,0.08207,0.46169,0.14909,0.10788,0.07265,1.11661,2.21576,3.7922,1.19592,9.1882e-05,9.1882e-05,9.1882e-05
41,3877.38,1.19537,2.32402,1.84517,1.27317,0.45975,0.15289,0.11103,0.08253,0.46402,0.14899,0.10843,0.07283,1.11962,2.22182,3.77399,1.1983,9.208e-05,9.208e-05,9.208e-05
42,7652.53,1.18731,2.31266,1.82963,1.26847,0.46094,0.15212,0.11168,0.08302,0.46222,0.14816,0.109,0.07336,1.11647,2.21657,3.79178,1.19634,9.1882e-05,9.1882e-05,9.1882e-05
43,11353,1.18069,2.29473,1.81135,1.26167,0.47453,0.15003,0.1137,0.08475,0.47244,0.14777,0.11099,0.07493,1.113,2.2098,3.78969,1.19396,9.1684e-05,9.1684e-05,9.1684e-05
44,14955.6,1.17338,2.28006,1.79299,1.2553,0.47476,0.14856,0.11621,0.08712,0.47266,0.14654,0.11373,0.07711,1.10917,2.2021,3.78137,1.19107,9.1486e-05,9.1486e-05,9.1486e-05
45,18556.1,1.16287,2.26122,1.77307,1.24875,0.48882,0.14391,0.11794,0.08854,0.48661,0.14215,0.11551,0.07853,1.10481,2.19384,3.76025,1.18799,9.1288e-05,9.1288e-05,9.1288e-05
46,22159.4,1.15779,2.24778,1.75581,1.2448,0.48664,0.14435,0.12029,0.09056,0.48436,0.14222,0.11777,0.08024,1.09999,2.18464,3.75497,1.18502,9.109e-05,9.109e-05,9.109e-05
47,25759.3,1.14694,2.2285,1.73564,1.2381,0.48982,0.14449,0.12463,0.09431,0.48804,0.14256,0.12199,0.08352,1.09508,2.17478,3.73613,1.18165,9.0892e-05,9.0892e-05,9.0892e-05
